phrase,news_count,research_count,speech_count,news_percentage,research_percentage,speech_percentage,average_percentage,source,agriculture_and_food_production,healthcare_and_wellbeing,general,none_of_the_above
election observers,60.0,5.0,28.0,0.0005,0.0,0.0005,0.0003,news_research_speech,False,False,True,False
bill payments,53.0,24.0,4.0,0.0005,0.0002,0.0001,0.0003,news_research_speech,False,False,True,False
terminal leave,33.0,0.0,18.0,0.0003,0.0,0.0003,0.0003,news_speech,False,False,True,False
labor relation,0.0,0.0,17.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
water deficit,0.0,52.0,4.0,0.0,0.0005,0.0001,0.0003,research_speech,True,False,True,False
class communities,0.0,30.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
buying organization,0.0,31.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
research skills,16.0,7.0,42.0,0.0001,0.0001,0.0007,0.0003,news_research_speech,False,False,True,False
committ,0.0,0.0,18.0,0.0,0.0,0.0003,0.0003,speech,False,False,False,True
exhibition centers,1.0,0.0,37.0,0.0,0.0,0.0006,0.0003,news_speech,False,False,True,False
furnishings,24.0,42.0,0.0,0.0002,0.0004,0.0,0.0003,news_research,False,False,True,False
jury selection,30.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
election periods,67.0,12.0,15.0,0.0006,0.0001,0.0002,0.0003,news_research_speech,False,False,True,False
reduced model,0.0,32.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
quality leadership,54.0,16.0,13.0,0.0005,0.0001,0.0002,0.0003,news_research_speech,False,False,True,False
byelections,0.0,0.0,19.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
clams,3.0,99.0,2.0,0.0,0.0009,0.0,0.0003,news_research_speech,True,False,False,False
upliftment,52.0,20.0,11.0,0.0004,0.0002,0.0002,0.0003,news_research_speech,False,False,True,False
reduced form,0.0,30.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
fashion accessories,15.0,88.0,3.0,0.0001,0.0008,0.0,0.0003,news_research_speech,False,False,True,False
registration centers,64.0,4.0,15.0,0.0006,0.0,0.0002,0.0003,news_research_speech,False,False,True,False
underlying reasons,11.0,64.0,4.0,0.0001,0.0006,0.0001,0.0003,news_research_speech,False,False,True,False
price control,30.0,20.0,28.0,0.0003,0.0002,0.0005,0.0003,news_research_speech,True,False,True,False
wildlife experience,1.0,0.0,34.0,0.0,0.0,0.0006,0.0003,news_speech,False,False,True,False
commonly known asgalamsey,36.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
price contingency,0.0,38.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,True,False
sensitization programmes,23.0,48.0,0.0,0.0002,0.0004,0.0,0.0003,news_research,False,True,True,False
home-based players,38.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
binding,2.0,111.0,1.0,0.0,0.001,0.0,0.0003,news_research_speech,False,False,True,False
sociologists,17.0,72.0,6.0,0.0001,0.0007,0.0001,0.0003,news_research_speech,False,False,True,False
commonly used methods,0.0,32.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
vegetation type,0.0,35.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
filled grains,0.0,34.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
treatment differences,0.0,31.0,0.0,0.0,0.0003,0.0,0.0003,research,False,True,False,False
road markings,76.0,16.0,2.0,0.0007,0.0001,0.0,0.0003,news_research_speech,False,False,True,False
home visits,25.0,40.0,0.0,0.0002,0.0004,0.0,0.0003,news_research,False,True,False,False
home town,65.0,14.0,10.0,0.0006,0.0001,0.0002,0.0003,news_research_speech,False,False,True,False
yield loss,0.0,34.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
election rerun,13.0,0.0,28.0,0.0001,0.0,0.0005,0.0003,news_speech,False,False,True,False
backup heater,0.0,33.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
research scientist,24.0,28.0,16.0,0.0002,0.0003,0.0003,0.0003,news_research_speech,False,True,True,False
home secretary,33.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
commonality,24.0,51.0,8.0,0.0002,0.0005,0.0001,0.0003,news_research_speech,False,False,True,False
price build-up,68.0,4.0,0.0,0.0006,0.0,0.0,0.0003,news_research,True,False,True,False
terror attacks,36.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
accounting system,3.0,93.0,4.0,0.0,0.0009,0.0001,0.0003,news_research_speech,False,False,True,False
market environment,9.0,51.0,0.0,0.0001,0.0005,0.0,0.0003,news_research,True,False,True,False
research scope,1.0,67.0,0.0,0.0,0.0006,0.0,0.0003,news_research,False,False,True,False
vegetation indices,0.0,33.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
budget line,22.0,14.0,44.0,0.0002,0.0001,0.0007,0.0003,news_research_speech,False,False,True,False
reduced inflation,30.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
home range,0.0,33.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
accounting standards,11.0,96.0,1.0,0.0001,0.0009,0.0,0.0003,news_research_speech,False,False,True,False
syrup,22.0,40.0,19.0,0.0002,0.0004,0.0003,0.0003,news_research_speech,True,False,False,False
vanity,65.0,4.0,15.0,0.0006,0.0,0.0002,0.0003,news_research_speech,False,False,True,False
crop response,0.0,28.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
tertiary,21.0,24.0,34.0,0.0002,0.0002,0.0006,0.0003,news_research_speech,False,False,True,False
home theaters,0.0,0.0,20.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
home team,83.0,3.0,14.0,0.0007,0.0,0.0002,0.0003,news_research_speech,False,False,True,False
labor department,1.0,0.0,39.0,0.0,0.0,0.0006,0.0003,news_speech,False,False,True,False
water facility,17.0,96.0,3.0,0.0001,0.0009,0.0,0.0003,news_research_speech,True,True,False,False
bank age,0.0,28.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
home soil,113.0,2.0,2.0,0.001,0.0,0.0,0.0003,news_research_speech,True,False,False,False
ecolodge,0.0,36.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
security experts,68.0,5.0,19.0,0.0006,0.0,0.0003,0.0003,news_research_speech,False,False,True,False
crop season,39.0,22.0,29.0,0.0003,0.0002,0.0005,0.0003,news_research_speech,True,False,False,False
home state,64.0,0.0,3.0,0.0006,0.0,0.0,0.0003,news_speech,False,False,True,False
crossings,49.0,19.0,0.0,0.0004,0.0002,0.0,0.0003,news_research,False,False,True,False
minority chief,0.0,0.0,16.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
o useh olds,0.0,32.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,False,True
resisting arrest,34.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
school dropout,34.0,47.0,5.0,0.0003,0.0004,0.0001,0.0003,news_research_speech,False,False,True,False
laboratory investigations,22.0,63.0,3.0,0.0002,0.0006,0.0,0.0003,news_research_speech,False,True,False,False
water application,0.0,29.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
research ties,39.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
pectinases,0.0,38.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
pectinase,0.0,35.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
arsenic compounds,0.0,30.0,0.0,0.0,0.0003,0.0,0.0003,research,False,True,False,False
registered members,33.0,69.0,8.0,0.0003,0.0006,0.0001,0.0003,news_research_speech,False,False,True,False
investment banking,31.0,41.0,4.0,0.0003,0.0004,0.0001,0.0003,news_research_speech,False,False,True,False
advocacy group,85.0,3.0,9.0,0.0007,0.0,0.0001,0.0003,news_research_speech,False,False,True,False
prayer work,0.0,0.0,16.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
budgeting practices,0.0,28.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
pediatrician,40.0,2.0,30.0,0.0003,0.0,0.0005,0.0003,news_research_speech,False,True,False,False
crown rot disease,0.0,35.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
budgeting process,9.0,84.0,3.0,0.0001,0.0008,0.0,0.0003,news_research_speech,False,False,True,False
lesson delivery,22.0,46.0,0.0,0.0002,0.0004,0.0,0.0003,news_research,False,False,True,False
pedestrian walkways,62.0,25.0,6.0,0.0005,0.0002,0.0001,0.0003,news_research_speech,False,False,True,False
industry average,45.0,45.0,4.0,0.0004,0.0004,0.0001,0.0003,news_research_speech,False,False,True,False
alleged threat,32.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
crowns,17.0,53.0,13.0,0.0001,0.0005,0.0002,0.0003,news_research_speech,False,False,False,True
pectin yield,0.0,37.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
tackle,47.0,0.0,13.0,0.0004,0.0,0.0002,0.0003,news_speech,False,False,False,True
funding source,27.0,23.0,39.0,0.0002,0.0002,0.0006,0.0003,news_research_speech,False,False,True,False
industry experience,56.0,14.0,15.0,0.0005,0.0001,0.0002,0.0003,news_research_speech,False,False,True,False
quality health services,48.0,29.0,11.0,0.0004,0.0003,0.0002,0.0003,news_research_speech,False,True,False,False
dial,40.0,10.0,29.0,0.0003,0.0001,0.0005,0.0003,news_research_speech,False,False,False,True
self-regulation,39.0,48.0,9.0,0.0003,0.0004,0.0001,0.0003,news_research_speech,False,False,True,False
health and safety performance,1.0,64.0,0.0,0.0,0.0006,0.0,0.0003,news_research,False,True,False,False
soil column,0.0,36.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
dialect,25.0,47.0,26.0,0.0002,0.0004,0.0004,0.0003,news_research_speech,False,False,True,False
investment firm,31.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
funding opportunities,77.0,2.0,8.0,0.0007,0.0,0.0001,0.0003,news_research_speech,False,False,True,False
industry growth,56.0,12.0,11.0,0.0005,0.0001,0.0002,0.0003,news_research_speech,False,False,True,False
field agents,11.0,59.0,0.0,0.0001,0.0005,0.0,0.0003,news_research,True,False,True,False
much-anticipated event,32.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
fashion show,79.0,5.0,14.0,0.0007,0.0,0.0002,0.0003,news_research_speech,False,False,True,False
self-respect,36.0,53.0,5.0,0.0003,0.0005,0.0001,0.0003,news_research_speech,False,False,True,False
prevalence rates,11.0,75.0,2.0,0.0001,0.0007,0.0,0.0003,news_research_speech,False,True,False,False
associated cost,21.0,63.0,4.0,0.0002,0.0006,0.0001,0.0003,news_research_speech,False,False,True,False
infrastructure projects delivery,0.0,33.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
buffer solutions,0.0,54.0,4.0,0.0,0.0005,0.0001,0.0003,research_speech,False,True,False,False
eye-opening,35.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,False,True
coming government,0.0,0.0,16.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
bearings,10.0,72.0,8.0,0.0001,0.0007,0.0001,0.0003,news_research_speech,False,False,False,True
end results,7.0,54.0,16.0,0.0001,0.0005,0.0003,0.0003,news_research_speech,False,False,True,False
health and safety hazards,1.0,61.0,0.0,0.0,0.0006,0.0,0.0003,news_research,False,True,False,False
buffer solution,0.0,64.0,2.0,0.0,0.0006,0.0,0.0003,research_speech,False,True,False,False
self-report,0.0,28.0,0.0,0.0,0.0003,0.0,0.0003,research,False,True,False,False
election headquarters election headquarters,0.0,0.0,18.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
school facilities,30.0,43.0,4.0,0.0003,0.0004,0.0001,0.0003,news_research_speech,False,False,True,False
vegetables surge,31.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,True,False,False,False
underwriting,33.0,45.0,5.0,0.0003,0.0004,0.0001,0.0003,news_research_speech,False,False,True,False
field workers,15.0,77.0,5.0,0.0001,0.0007,0.0001,0.0003,news_research_speech,True,False,True,False
selling price,35.0,40.0,14.0,0.0003,0.0004,0.0002,0.0003,news_research_speech,False,False,True,False
classification accuracy,0.0,35.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
field visits,40.0,77.0,3.0,0.0003,0.0007,0.0,0.0003,news_research_speech,True,False,True,False
peer review,29.0,42.0,20.0,0.0002,0.0004,0.0003,0.0003,news_research_speech,False,False,True,False
water chemistry,0.0,30.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
women league,34.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
fungal isolates,0.0,32.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
buy election,0.0,0.0,16.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
accounting professionals,5.0,68.0,0.0,0.0,0.0006,0.0,0.0003,news_research,False,False,True,False
rt,0.0,32.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,False,True
tree diversity,0.0,28.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
budget support,80.0,5.0,7.0,0.0007,0.0,0.0001,0.0003,news_research_speech,False,False,True,False
investigation process,60.0,8.0,22.0,0.0005,0.0001,0.0004,0.0003,news_research_speech,False,False,True,False
arrested protesters,12.0,0.0,29.0,0.0001,0.0,0.0005,0.0003,news_speech,False,False,True,False
quality issues,13.0,70.0,12.0,0.0001,0.0006,0.0002,0.0003,news_research_speech,False,False,True,False
fungal infection,34.0,30.0,0.0,0.0003,0.0003,0.0,0.0003,news_research,False,True,False,False
headphones,65.0,3.0,15.0,0.0006,0.0,0.0002,0.0003,news_research_speech,False,False,False,True
water bottle products,0.0,29.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
tree savanna,0.0,35.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
public health act,1.0,0.0,37.0,0.0,0.0,0.0006,0.0003,news_speech,False,True,True,False
just-ended election,33.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
four-day event,32.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
investment app,32.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
lesser-known sports,34.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
road safety regulations,94.0,5.0,11.0,0.0008,0.0,0.0002,0.0003,news_research_speech,False,False,True,False
minority people,0.0,0.0,21.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
alleged victim,76.0,1.0,9.0,0.0007,0.0,0.0001,0.0003,news_research_speech,False,False,True,False
reduced risk,45.0,65.0,1.0,0.0004,0.0006,0.0,0.0003,news_research_speech,False,True,False,False
magician,43.0,10.0,26.0,0.0004,0.0001,0.0004,0.0003,news_research_speech,False,False,True,False
exertion,6.0,73.0,2.0,0.0001,0.0007,0.0,0.0003,news_research_speech,False,True,False,False
research subject,0.0,34.0,0.0,0.0,0.0003,0.0,0.0003,research,False,True,True,False
peer educators,23.0,51.0,4.0,0.0002,0.0005,0.0001,0.0003,news_research_speech,False,False,True,False
water cannon,52.0,0.0,12.0,0.0004,0.0,0.0002,0.0003,news_speech,False,False,True,False
eye problems,67.0,19.0,9.0,0.0006,0.0002,0.0001,0.0003,news_research_speech,False,True,False,False
alleged war crimes,38.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
alleged violations,37.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
fungal attack,0.0,28.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
field staff,18.0,64.0,3.0,0.0002,0.0006,0.0,0.0003,news_research_speech,True,False,True,False
sell,10.0,22.0,40.0,0.0001,0.0002,0.0006,0.0003,news_research_speech,False,False,True,False
mound,6.0,59.0,0.0,0.0001,0.0005,0.0,0.0003,news_research,True,False,False,False
collision process,0.0,0.0,21.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
budget constraints,24.0,64.0,3.0,0.0002,0.0006,0.0,0.0003,news_research_speech,False,False,True,False
tax refunds,29.0,3.0,40.0,0.0002,0.0,0.0006,0.0003,news_research_speech,False,False,True,False
tax regulations,23.0,73.0,2.0,0.0002,0.0007,0.0,0.0003,news_research_speech,False,False,True,False
president johnman mahama,0.0,0.0,18.0,0.0,0.0,0.0003,0.0003,speech,False,False,False,True
customer relations,23.0,52.0,9.0,0.0002,0.0005,0.0001,0.0003,news_research_speech,False,False,True,False
cocoa supply chain,34.0,72.0,1.0,0.0003,0.0007,0.0,0.0003,news_research_speech,True,False,True,False
tax return,12.0,30.0,22.0,0.0001,0.0003,0.0004,0.0003,news_research_speech,False,False,True,False
university lecturers,66.0,11.0,12.0,0.0006,0.0001,0.0002,0.0003,news_research_speech,False,False,True,False
trust-based partnerships,34.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
pview,0.0,0.0,17.0,0.0,0.0,0.0003,0.0003,speech,False,False,False,True
cocoa season,49.0,47.0,10.0,0.0004,0.0004,0.0002,0.0003,news_research_speech,True,False,False,False
team player,33.0,8.0,25.0,0.0003,0.0001,0.0004,0.0003,news_research_speech,False,False,True,False
market operators,38.0,10.0,24.0,0.0003,0.0001,0.0004,0.0003,news_research_speech,False,False,True,False
selected construction firms,0.0,34.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
team performance,12.0,89.0,2.0,0.0001,0.0008,0.0,0.0003,news_research_speech,False,False,True,False
freestyle,48.0,4.0,28.0,0.0004,0.0,0.0005,0.0003,news_research_speech,False,False,False,True
trust fund,38.0,9.0,29.0,0.0003,0.0001,0.0005,0.0003,news_research_speech,False,False,True,False
president kufo,0.0,0.0,21.0,0.0,0.0,0.0003,0.0003,speech,False,False,False,True
dimethyl ketene,0.0,35.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,False,True
cocoa yield,15.0,99.0,1.0,0.0001,0.0009,0.0,0.0003,news_research_speech,True,False,False,False
managing partner,46.0,4.0,39.0,0.0004,0.0,0.0006,0.0003,news_research_speech,False,False,True,False
passport applications,65.0,0.0,2.0,0.0006,0.0,0.0,0.0003,news_speech,False,False,True,False
tax rebates,42.0,21.0,18.0,0.0004,0.0002,0.0003,0.0003,news_research_speech,False,False,True,False
wasi results,0.0,0.0,20.0,0.0,0.0,0.0003,0.0003,speech,False,False,False,True
passport application centres,32.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
cyber attacks,54.0,1.0,27.0,0.0005,0.0,0.0004,0.0003,news_research_speech,False,False,True,False
tax reform,31.0,29.0,27.0,0.0003,0.0003,0.0004,0.0003,news_research_speech,False,False,True,False
beef products,2.0,67.0,0.0,0.0,0.0006,0.0,0.0003,news_research,True,False,False,False
naming ceremony,45.0,51.0,6.0,0.0004,0.0005,0.0001,0.0003,news_research_speech,False,False,True,False
hidden community,0.0,0.0,16.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
exccepts,0.0,0.0,16.0,0.0,0.0,0.0003,0.0003,speech,False,False,False,True
rainforest,30.0,48.0,9.0,0.0003,0.0004,0.0001,0.0003,news_research_speech,True,False,True,False
cocoa purchases,77.0,36.0,2.0,0.0007,0.0003,0.0,0.0003,news_research_speech,True,False,False,False
selected community,0.0,28.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
president decision,0.0,0.0,16.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
examination body,49.0,2.0,28.0,0.0004,0.0,0.0005,0.0003,news_research_speech,False,False,True,False
burden-sharing,38.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
examination centre,47.0,24.0,0.0,0.0004,0.0002,0.0,0.0003,news_research,False,False,True,False
irrigation practice,0.0,30.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
trusted media,40.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
scheduled time,49.0,48.0,6.0,0.0004,0.0004,0.0001,0.0003,news_research_speech,False,False,True,False
customer service activities,0.0,31.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
cocoa powder,22.0,50.0,6.0,0.0002,0.0005,0.0001,0.0003,news_research_speech,True,False,False,False
tax structure,28.0,19.0,23.0,0.0002,0.0002,0.0004,0.0003,news_research_speech,False,False,True,False
retraining,34.0,45.0,7.0,0.0003,0.0004,0.0001,0.0003,news_research_speech,False,False,True,False
passionate advocate,67.0,0.0,2.0,0.0006,0.0,0.0,0.0003,news_speech,False,False,True,False
washing machines,53.0,16.0,10.0,0.0005,0.0001,0.0002,0.0003,news_research_speech,False,False,True,False
number one spot,54.0,0.0,6.0,0.0005,0.0,0.0001,0.0003,news_speech,False,False,True,False
customer satisfaction levels,0.0,29.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
irrigation farming,24.0,71.0,3.0,0.0002,0.0007,0.0,0.0003,news_research_speech,True,False,False,False
party a,0.0,0.0,19.0,0.0,0.0,0.0003,0.0003,speech,False,False,False,True
irrigation infrastructure,43.0,22.0,19.0,0.0004,0.0002,0.0003,0.0003,news_research_speech,True,False,False,False
president directive,0.0,0.0,17.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
party activities,66.0,14.0,18.0,0.0006,0.0001,0.0003,0.0003,news_research_speech,False,False,True,False
cocoa-growing communities,67.0,2.0,0.0,0.0006,0.0,0.0,0.0003,news_research,True,False,False,False
scheduled meeting,79.0,2.0,15.0,0.0007,0.0,0.0002,0.0003,news_research_speech,False,False,True,False
scholarship authority,0.0,0.0,17.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
business characteristics,0.0,30.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
clothing accessories,1.0,64.0,0.0,0.0,0.0006,0.0,0.0003,news_research,False,False,True,False
assessment tour,39.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
educationists,53.0,51.0,2.0,0.0005,0.0005,0.0,0.0003,news_research_speech,False,False,True,False
educations,0.0,26.0,24.0,0.0,0.0002,0.0004,0.0003,research_speech,False,False,True,False
tax hits,36.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
tech firms,114.0,1.0,1.0,0.001,0.0,0.0,0.0003,news_research_speech,False,False,True,False
tech firm,34.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
selected health facilities,39.0,81.0,1.0,0.0003,0.0007,0.0,0.0003,news_research_speech,False,True,False,False
university admission,31.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
selected facilities,9.0,51.0,0.0,0.0001,0.0005,0.0,0.0003,news_research,False,True,True,False
β-carotene,0.0,31.0,0.0,0.0,0.0003,0.0,0.0003,research,True,True,False,False
father figure,60.0,3.0,33.0,0.0005,0.0,0.0005,0.0003,news_research_speech,False,False,True,False
loan repayment performance,0.0,36.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
bully,47.0,5.0,28.0,0.0004,0.0,0.0005,0.0003,news_research_speech,False,True,True,False
loan repayment period,0.0,33.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
heat transfer,2.0,85.0,4.0,0.0,0.0008,0.0001,0.0003,news_research_speech,False,False,True,False
truck drivers,48.0,22.0,19.0,0.0004,0.0002,0.0003,0.0003,news_research_speech,False,False,True,False
scheduled date,53.0,26.0,9.0,0.0005,0.0002,0.0001,0.0003,news_research_speech,False,False,True,False
tax fairness,0.0,32.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
assessor system,0.0,0.0,16.0,0.0,0.0,0.0003,0.0003,speech,False,False,True,False
assessor,6.0,81.0,1.0,0.0001,0.0007,0.0,0.0003,news_research_speech,False,False,True,False
yes you,0.0,0.0,16.0,0.0,0.0,0.0003,0.0003,speech,False,False,False,True
tax forces,0.0,1.0,34.0,0.0,0.0,0.0006,0.0003,research_speech,False,False,True,False
tax justice,7.0,58.0,0.0,0.0001,0.0005,0.0,0.0003,news_research,False,False,True,False
tax knowledge,0.0,70.0,3.0,0.0,0.0006,0.0,0.0003,research_speech,False,False,True,False
cloud customer,0.0,31.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
trumpet,48.0,13.0,24.0,0.0004,0.0001,0.0004,0.0003,news_research_speech,False,False,False,True
loan spell,36.0,0.0,0.0,0.0003,0.0,0.0,0.0003,news,False,False,True,False
customer market share,0.0,34.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
fruit firmness,0.0,32.0,0.0,0.0,0.0003,0.0,0.0003,research,True,False,False,False
cloud services,62.0,24.0,4.0,0.0005,0.0002,0.0001,0.0003,news_research_speech,False,False,True,False
eggshells,25.0,80.0,6.0,0.0002,0.0007,0.0001,0.0003,news_research_speech,True,False,False,False
teaming youth,26.0,5.0,43.0,0.0002,0.0,0.0007,0.0003,news_research_speech,False,False,True,False
trunk roads,16.0,69.0,4.0,0.0001,0.0006,0.0001,0.0003,news_research_speech,False,False,True,False
irrigated agriculture,3.0,71.0,18.0,0.0,0.0007,0.0003,0.0003,news_research_speech,True,False,False,False
heavily built men,32.0,0.0,17.0,0.0003,0.0,0.0003,0.0003,news_speech,False,True,False,False
mixed reaction,44.0,9.0,31.0,0.0004,0.0001,0.0005,0.0003,news_research_speech,False,False,True,False
coconut water,15.0,41.0,18.0,0.0001,0.0004,0.0003,0.0003,news_research_speech,True,True,False,False
exam hall,50.0,1.0,39.0,0.0004,0.0,0.0006,0.0003,news_research_speech,False,False,True,False
rock types,0.0,34.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
fruit quality,3.0,63.0,0.0,0.0,0.0006,0.0,0.0003,news_research,True,False,False,False
refuse disposal,0.0,34.0,0.0,0.0,0.0003,0.0,0.0003,research,False,True,True,False
irradiation,7.0,86.0,1.0,0.0001,0.0008,0.0,0.0003,news_research_speech,True,True,False,False
mass transfer,10.0,50.0,0.0,0.0001,0.0005,0.0,0.0003,news_research,False,False,True,False
tax noncompliance,0.0,29.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
president mouhamama,0.0,0.0,19.0,0.0,0.0,0.0003,0.0003,speech,False,False,False,True
assessment process,18.0,62.0,1.0,0.0002,0.0006,0.0,0.0003,news_research_speech,False,False,True,False
replicate,3.0,113.0,2.0,0.0,0.001,0.0,0.0003,news_research_speech,False,False,False,True
bellies,59.0,10.0,14.0,0.0005,0.0001,0.0002,0.0003,news_research_speech,False,True,False,False
beetles,2.0,114.0,2.0,0.0,0.001,0.0,0.0003,news_research_speech,True,False,False,False
assciation,0.0,0.0,18.0,0.0,0.0,0.0003,0.0003,speech,False,False,False,True
replay,64.0,8.0,20.0,0.0006,0.0001,0.0003,0.0003,news_research_speech,False,False,False,True
refugee,52.0,2.0,28.0,0.0004,0.0,0.0005,0.0003,news_research_speech,False,False,True,False
qualitative design,0.0,35.0,0.0,0.0,0.0003,0.0,0.0003,research,False,False,True,False
tuation,0.0,0.0,20.0,0.0,0.0,0.0003,0.0003,speech,False,False,False,True
mist,26.0,79.0,8.0,0.0002,0.0007,0.0001,0.0003,news_research_speech,True,False,False,False
dollar support,6.0,0.0,32.0,0.0001,0.0,0.0005,0.0003,news_speech,False,False,True,False
lance minister,0.0,0.0,21.0,0.0,0.0,0.0003,0.0003,speech,False,False,False,True
customization,17.0,66.0,12.0,0.0001,0.0006,0.0002,0.0003,news_research_speech,False,False,True,False
isolated case,53.0,12.0,21.0,0.0005,0.0001,0.0003,0.0003,news_research_speech,False,False,True,False
isolated cases,48.0,24.0,23.0,0.0004,0.0002,0.0004,0.0003,news_research_speech,False,False,True,False
